,Per State,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,State Data,,,,,,,,,,,Carbyne Future State,Carbyne Current State,,,,,,
,Country,POD,State,Population,PSAPs,Dispatch Seats,State wide Contract for Call Taking,Statewide Call taking Provider,Network Type,Network Provider,Statewide Connectivity,Ideal State RSM Coverage,Seats Deployed ,APEX PSAPs Deployed,Universe PSAPs Deployed,TAM Analysis ,911 TAM,Non 911 TAM,Number of Seats
,USA,East POD,Pennsylvania,"12,972,008",93,895,,,ESInet,Comtech,Yes,2,,,,,,,
,Canada,Canada POD,Prince Edward Island,"160,000",2,,,,,,,36,,,,,,,
,USA,East POD,Rhode Island,"1,095,610",70,88,,"Comtech, Solacom",ESInet,INDigital,,4,,,,,,,
,Canada,Canada POD,Saskatchewan,"1,200,000",7,,,,,,,34,,,,,,,
,USA,East POD,South Carolina,"5,366,308",102,651,Yes,Comtech,ESInet,Comtech / Indigital,No,7,,,,,,,
,USA,West POD,South Dakota,"892,631",36,119,Yes,Intrado Viper Solacom,ESInet,Comtech,,29,,,,,,,
,USA,Central POD,South Texas,"15,000,000",318,"1,252",No,,ESInet,AT&T Intrado i3,Yes,11,,,,,,,
,USA,West POD,Southern California,"20,000,000",249.5,"1,658.50",,,ESInet,"Lumen, ATOS, NGA911, Synergem",Yes,22,,,,,,,
,USA,Central POD,Tennessee,"6,833,174",171,956,Yes,"Intrado Viper, Motorola Vesta",ESInet,AT&T Intrado i3,Yes,16,,,,,,,
,USA,West POD,Utah,"3,271,616",39,166,Yes,Motorola Vesta,ESInet,Motorola,Yes,25,,,,,,,
,USA,East POD,Vermont,"647,156",6,37,Yes,"Comtech, Solacom",ESInet,INdigital,Yes,9,,,,,,,
,Canada,West POD,Vermont,"643,503",18,37,,,ESInet,Comtech,Yes,31,,,,,,,
,USA,East POD,Virginia,"8,757,467",172,"1,223",No,,ESInet,AT&T Intrado i3,,5,,,,,,,
,USA,West POD,Washington,"7,614,893",106,459,No,,ESInet,Comtech,Yes,23,,,,,,,
,USA,East POD,West Virginia,"1,764,786",61,258,,,E911,CAMA Trunks,Yes,9,,,,,,,
,USA,Central POD,Wisconsin,"5,935,064",144,588,,,ESInet,AT&T Intrado i3,,17,,,,,,,
,USA,West POD,Wyoming,"581,381",43,164,No,Varies,E911,Lumen,,28,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total ,,,"338,148,241",6689,33500,,,,,,,,,,,,,
