Address,City,State,Zip,County
"12040 Regency","Cary","NC","27,518","Wake County"
"1000 Eaton","Cleveland","OH","44,122","Cuyahoga County"
"8000 W Florissant","St Louis","MO","63,136","St. Louis County"
"615 JB Hunt","Lowell","AR","72,745","Benton County"
"2002 W Wahalla","Phoenix","AZ","85,027","Maricopa County"
"650 W Peachtree","Atlanta","GA","30,308","Fulton County"
"55 Glenlake","Atlanta","GA","30,328","DeKalb County"
"942 South Shady Grove","Memphis","TN","38,120","Shelby County"
"13410 Sutton Park","South Jacksonville","FL","32,224","Duval County"
"10990 Roe","Overland Park","KS","66,211","Johnson County"
"2211 Old Earhart","Ann Harbor","MI","48,105","Washtenaw County"
"500 Old Dominion","Thomasville","NC","27,360","Davidson County"
"3101 South packerland","Green Bay","WI","54,313","Brown County"
"12100 S Pine Island","Plantation","FL","33,324","Broward County"
"9642 Western Way","Amherst","WI","54,406","Portage County"
"2665 Tracy","Northwood","OH","43,619","Wood County"
"3200 Channahon","Joliet","IL","60,436","Will County"
"5130 S 5400 E","Vernal","UT","84,078","Uintah County"
"1916 E 29th","Marshfield","WI","54,449","Wood County"
"3150 N Weber","Fresno","CA","93,722","Fresno County"
"180 Park","Florham Park","NJ","7,932","Morris County"
"9700 Martin Luther King Jr","Lanham","MD","20,706","Prince George's County"
"4001 Leadenhall","Mount Laurel","NJ","8,054","Burlington County"
"10200 Grand Central","Owings Mills","MD","21,117","Baltimore County"
"600 Corporate Park","St Louis","MO","63,105","St. Louis County"
"5757 North Green Bay","Milwaukee","WI","53,209","Milwaukee County"
"6501 S Fiddlers Green","Greenwood Village","CO","80,111","Arapahoe County"
"8465 N Pima","Scottsdale","AZ","85,258","Maricopa County"
"130 E Kaliste Saloom","Lafayette","LA","70,508","Lafayette Parish"
"10324 Interstate 30","Little Rock","AR","72,209","Pulaski County"
"1120 North","Sacramento","CA","95,814","Sacramento County"
"2829 W Howard","Denver","CO","80,204","Denver County"
"800 Bay Road","Dover","DE","19,901","Kent County"
"605 Suwannee","Tallahassee","FL","32,399","Leon County"
"800 Lincoln","Ames","IA","50,010","Story County"
"700 SW Harrison","Topeka","KS","66,603","Shawnee County"
"200 Mero","Frankfort","KY","40,622","Franklin County"
"401 North West","Jackson","MS","39,201","Hinds County"
"105 W Capitol","Jefferson City","MO","65,102","Cole County"
"2701 Prospect","Helena","MT","59,620","Lewis and Clark County"
"1263 South Stewart","Carson City","NV","89,712","Carson City"
"1 S Wilmington","Raleigh","NC","27,601","Wake County"
"400 North","Harrisburg","PA","17,120","Dauphin County"
"955 Park","Columbia","SC","29,201","Richland County"
"700 E Broadway","Pierre","SD","57,501","Hughes County"
"125 E 11th","Austin","TX","78,701","Travis County"
"1401 E Broad","Richmond","VA","23,219","Richmond City"
"4822 Madison Yards","Madison","WI","53,705","Dane County"
"1655 W Jackson","Phoenix","AZ","85,007","Maricopa County"
"433 W Van Buren","Chicago","IL","60,607","Cook County"
"400 NW 56th","Lincoln","NE","68,528","Lancaster County"
"6800 Carlisle","Mechanicsburg","PA","17,050","Cumberland County"
"10770 I","Omaha","NE","68,127","Douglas County"
"2740 N MAYFAIR","SPRINGFIELD","MO","65,803","Greene County"
"600 Gillam","Wilmington","OH","45,177","Clinton County"
"2675 Morgantown","Reading","PA","19,607","Berks County"
"3930 16th","Cedar Rapids","IA","52,404","Linn County"
"2333 Ponce de Leon","Coral Gables","FL","33,134","Miami-Dade County"
"808 N 161st E","Tulsa","OK","74,116","Tulsa County"
"901 N Kansas","North Liberty","IA","52,317","Johnson County"
"14507 Frontier","Omaha","NE","68,138","Douglas County"
"86 Brattle","Cambridge","MA","2,138","Middlesex County"
"77 Massachusetts","Cambridge","MA","2,139","Middlesex County"
"450 Jane Stanford","Stanford","CA","94,305","Santa Clara County"
"1 Nassau Hall","Princeton","NJ","8,544","Mercer County"
"116th St","New York","NY","10,027","New York County"
"5801 S Ellis","Chicago","IL","60,637","Cook County"
"3451 Walnut","Philadelphia","PA","19,104","Philadelphia County"
"77 Broadway","New Haven","CT","6,511","New Haven County"
"1200 E California","Pasadena","CA","91,125","Los Angeles County"
"110 Sproul Hall","Berkeley","CA","94,720","Alameda County"
"410 Thurston","Ithaca","NY","14850","Tompkins County"
"1109 Geddes","Ann Arbor","MI","48109","Washtenaw County"
"3400 N Charles","Baltimore","MD","21218","Baltimore City"
"633 Clark","Chicago","IL","60208","Cook County"
"1147 Murphy Hall","Los Angeles","CA","90095","Los Angeles County"
"415 Chapel","Durham","NC","27708","Durham County"
"1110 W Springfield","Urbana","IL","61801","Champaign County"
"1410 NE Campus","Seattle","WA","98195","King County"
"1308 W Dayton","Madison","WI","53715","Dane County"
"726 Broadway","New York","NY","10003","New York County"
"3252 Holiday","Austin","TX","78701","Travis County"
