,Per State,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,State Data,,,,,,,,,,,Carbyne Future State,Carbyne Current State,,,,,,
,`,POD,State,Population,PSAPs,Dispatch Seats,State wide Contract for Call Taking,Statewide Call taking Provider,Network Type,Network Provider,Statewide Connectivity,Ideal State RSM Coverage,Seats Deployed ,APEX PSAPs Deployed,Universe PSAPs Deployed,TAM Analysis ,911 TAM,Non 911 TAM,Number of Seats
,USA,Central POD,South Texas,"15,000,000",318,"1,252",No,,ESInet,AT&T Intrado i3,Yes,11,,,,,,,2504.0
,USA,West POD,Southern California,"20,000,000",249.5,"1,658.50",,,ESInet,"Lumen, ATOS, NGA911, Synergem",Yes,22,,,,,,,3358.0
,USA,Central POD,Tennessee,"6,833,174",171,956,Yes,"Intrado Viper, Motorola Vesta",ESInet,AT&T Intrado i3,Yes,16,,,,,,,956.0
,USA,West POD,Utah,"3,271,616",39,166,Yes,Motorola Vesta,ESInet,Motorola,Yes,25,,,,,,,166.0
,USA,East POD,Vermont,"647,156",6,37,Yes,"Comtech, Solacom",ESInet,INdigital,Yes,9,,,,,,,37.0
,USA,East POD,Virginia,"8,757,467",172,"1,223",No,,ESInet,AT&T Intrado i3,,5,,,,,,,1223.0
,USA,West POD,Washington,"7,614,893",106,459,No,,ESInet,Comtech,Yes,23,,,,,,,459.0
,USA,East POD,West Virginia,"1,764,786",61,258,,,E911,CAMA Trunks,Yes,9,,,,,,,258.0
,USA,Central POD,Wisconsin,"5,935,064",144,588,,,ESInet,AT&T Intrado i3,,17,,,,,,,588.0
,USA,West POD,Wyoming,"581,381",43,164,No,Varies,E911,Lumen,,28,,,,,,,164.0
,,,,,,,,,,,,,,,,,,,
,Total ,,,"329,203,159",6610,33227,,,,,,,,,,,,,
